Hospitals Name,Hospital Address,Pincode,website,City,Category,Founded,Number,Email,Other Email,Other Email.1,Verified_Emails,Secondary_Emails,Other contact,Other contact.1,Other contact.2,Other contact.3, , .1, .2, .3, .4,clean_phone,clean_email
"Apollo Medical Center - Best Clinic for General Physician, Gynaecologist, Paediatrics, ENT Specialist, Orthopaedics, Cardiologist, Dermatology, Physiotherapy Treatments in Marthalli, Bangalore","673/A, Shriram Samruddhi Apartments, Varthur Road, Near Kundalahalli Signal, Whitefield, BEML Layout, Brookefield, Bengaluru, Karnataka 560066",560066,,Karnataka, Cardiology Hospitals,,084484 40978,,,,,roc.pjsassociates@gmail.com,,,,,,,,,,,
"Dr. P.L. Saravanan - Best Cardiologist in Bangalore, Chennai","Baptist Hospital, Bellary Rd, Vinayakanagar, Hebbal, Bengaluru, Karnataka 560024",560024,https://plsaravanancardiologist.com/,Karnataka, Cardiology Hospitals,,096205 23513,plsaravanancardiologist@gmail.com,,,,fast.signature@gmail.com,,,,,,,,,,,plsaravanancardiologist@gmail.com
Muktha Heart Care Centre,"Haji Colony, Raichur, Karnataka 584101",584101,,Karnataka, Cardiology Hospitals,,096201 50554,mukta.healthcare@gmail.com,jainmadhuri986@gmail.com,,,ca.kpmr@gmail.com,9886759260,9900553251,,,,,,,,,mukta.healthcare@gmail.com
"""Hrudaya""-Superspeciality heart care clinic","A2, Pacific Plaza (Belamkar Complex), Club road/Vivekananda Hospital road, Hubli, Karnataka 580029",580029,,Karnataka, Cardiology Hospitals,,094487 85875,hrudayaheartclinic@gmail.com,hrudaya.foundation@gmail.com,hrudaya1@gmail.com,,bkg.majestic@gmail.com,9747215850,,,,,,,,,,hrudayaheartclinic@gmail.com
Dr. Arun Srinivas - Best Cardiologist in Mysore,"Apollo BGS Hospitals Mysore, Adichuchanagiri Road, Kuvempunagar, Mysuru, Karnataka 570023",570023,https://www.askapollo.com/doctors/cardiologist/mysore/dr-arun-srinivas?utm_medium=gmb&utm_source=dr-arun-srinivas&utm_campaign=organic,Karnataka, Cardiology Hospitals,,1860 500 1066,,,,,ekassociate@gmail.com,,,,,,,,,,,
Fortis Hospital Rajajinagar Bangalore - Karnataka,"111, West of Chord Road Opp Rajajinagar, 1st Block, Junction, Bengaluru, Karnataka 560086",560086,https://fortisbangalore.com/campaign/leading-multispeciality-hospital-rajajinagar-bangalore/,Karnataka, Cardiology Hospitals,,076187 72262,care.bng@fortishealthcare.com,,,,kochar.vijay@gmail.com,7618772262,9686860310,8884481414,9591035258,9663367253,8066214444,,,,,care.bng@fortishealthcare.com
KMC Hospital Mangaluru ( Jyoti Circle),"KMC Hospital,Tower-2, opposite Jyothi Theatre, Balmatta, Mangalore, Karnataka 575019",575019,https://www.manipalhospitals.com/mangalore/,Karnataka, Cardiology Hospitals,,1800 102 5555,info@manipalhospitals.com,,,,ca.vma2011@gmail.com,,,,,,,,,,,info@manipalhospitals.com
A.V. Hospital,"#9 Patalamma Temple Street, near South End Circle, Basavanagudi, Bengaluru, Karnataka 560004",560004,http://www.avhospital.co.in/,Karnataka, Cardiology Hospitals,,072590 39815,info@avhospital.co.in,avhospital@gmail.com,,,sunilchokhani1968@gmail.com,7259039815,,,,,,,,,,info@avhospital.co.in
Dr. K B Prasad - Best Cardiologist near me in Bannerghatta Road,"Apollo Hospitals Bannerghatta Road, Opp.iim 154/11,bannerghatta Road. Bannerghatta Road, Bengaluru, Karnataka 560076",560076,https://www.askapollo.com/doctors/cardiologist/bangalore/dr-k-b-prasad?utm_medium=gmb&utm_source=dr-k-b-prasad&utm_campaign=organic,Karnataka, Cardiology Hospitals,,1860 500 1066,helpdesk@apollo247.com,corporate@apollo247.org,support@apollo247.org,,rajtaxcon@gmail.com,08045050410,08045050411,grievance@apollo247.com,,,,,,,,helpdesk@apollo247.com
Fortis Adarsha Heart Hospital,"Bengaluru - Honnavar Rd, Venkatesh Rao Colony, Tumakuru, Karnataka 572103",572103,,Karnataka, Cardiology Hospitals,,0816 225 6000,,,,,csonline24@gmail.com,918162256000,,,,,,,,,,
Indianova Heart Center,"#323, Next to Adishwar Showroom, Old Madras Road, NH75, Old Extension, Krishnarajapura, Bengaluru, Karnataka 560036",560036,http://www.indianovahealthcare.com/,Karnataka, Cardiology Hospitals,,095901 13333,info@indianovahealthcare.com,,,,abc2330@gmail.com,,,,,,,,,,,info@indianovahealthcare.com
Sattur Dr G B Md Mrcp,"Sattur Medical Care Desai Cross, Pinto Road, Chitguppi Park, Hubli, Karnataka 580020",580020,,Karnataka, Cardiology Hospitals,,0836 235 1323,drgbssmc1@gmail.com,,,,jessyindia25@gmail.com,918362351323,,,,,,,,,,drgbssmc1@gmail.com
Dr. Bagirath Raghuraman,"2nd Stage, CMH complex, Chinmaya Mission Hospital Rd, Defence Colony, Indiranagar, Bengaluru, Karnataka 560038",560038,https://www.narayanahealth.org/bangalore/cardiology-adult-heart-transplant/dr-bagirath-raghuraman?utm_source=dr-bagirath-raghuraman&utm_medium=GMB&utm_campaign=Organic,Karnataka, Cardiology Hospitals,,080 2520 0001,info.sarjapur@narayanahealth.org,info.ahd@narayanahealth.org,info.shimoga@narayanahealth.org,,kulkarni.prasad.10@gmail.com,8003090309,9070888111,9070888222,9070888333,8334830003,info.nics@narayanahealth.org,info.hsr@narayanahealth.org,nmclangford@narayanahealth.org,,,info.sarjapur@narayanahealth.org
Dr. M. Handral Mallikarjun,"Ashirwad Hospital, 2nd Floor, Radio Complex, Shivaji Road, Near Hotel Anupam, Belgaum, Karnataka 590002",590002,,Karnataka, Cardiology Hospitals,,0831 421 5965,drmmhandral@gmail.com,deepjn@rediffmail.com,,,incometax.spc@gmail.com,918314215965,9945765965,9916278706,08312482214,,,,,,,drmmhandral@gmail.com
Heart Care for you,"Aurobindo Marg, 4th T Block East, 4th Block, Jayanagar, Bengaluru, Karnataka 560011",560011,http://www.heartcareforyou.in/,Karnataka, Cardiology Hospitals,,090195 38626,peddeswarheartcarecenter@gmail.com,info@openheartcare.org,reception@heartcare.ca,,guptatayal.ca@gmail.com,,,,,,,,,,,peddeswarheartcarecenter@gmail.com
Dr. K M Nair - Best Cardiologist near me in Bannerghatta Road,"Apollo Hospitals Bannerghatta Road, Opp.iim 154/11,bannerghatta Road. Bannerghatta Road, Bengaluru, Karnataka 560076",560076,https://www.askapollo.com/bangalore/cardiologist/dr-k-m-nair?utm_medium=gmb&utm_source=dr-k-m-nair&utm_campaign=Organic,Karnataka, Cardiology Hospitals,,1860 500 1066,,,,,sspanda33@gmail.com,,,,,,,,,,,
Dr A V Shetty's Cardiac Clinic,"Temple Square, Car Street Cross Rd, opposite Ram Mandir, Bhavathi, Bunder, Mangalore, Karnataka 575001",575001,,Karnataka, Cardiology Hospitals,,0824 242 5533,,,,,steeltradeagencies@gmail.com,,,,,,,,,,,
Dr. Vivekanand S Gajapati,"SDM College of Medical Sciences, Manjushree Nagar, Sattur Colony, Karnataka 580009",580009,https://dr-vivekanand-s-gajapati.business.site/?utm_source=gmb&utm_medium=referral,Karnataka, Cardiology Hospitals,,096634 75788,,,,,hsa.roc@gmail.com,,,,,,,,,,,
A.J. Hospital & Research Centre,"National Highway 66 Kuntikana, Mangalore, Karnataka 575004",575004,http://www.ajhospital.in/,Karnataka, Cardiology Hospitals,,0824 222 5533,director@ajhospital.in,ajihm.mha@gmail.com,operations@ajhospita,,company.compliance4@gmail.com,8242225541,9844031165,,,,,,,,,director@ajhospital.in
Dr Nalwad Multispeciality Hospital,"Airport Road, Vikas Nagar, Hosur, Dharwad, Hubli, Karnataka 580020",580020,,Karnataka, Cardiology Hospitals,,0836 425 3365,,,,,ashuguptaca2012@gmail.com,,,,,,,,,,,
Sneha Heart Centre,"#372 9th Cross, 4th Main Rd, Prince Jayachamaraja Wodeyar, Davanagere, Karnataka 577002",577002,http://drmallesh.com/,Karnataka, Cardiology Hospitals,,094807 25138,,,,,ksrao21@gmail.com,,,,,,,,,,,
Dr. Devi Prasad Shetty,"Narayana Institute of Cardiac Sciences, Bommasandra Industrial Area, Bommasandra, Karnataka 560099",560099,https://www.narayanahealth.org/bangalore/cardiac-surgery-paediatric-cardiac-surgery-adult/dr-devi-prasad-shetty?utm_source=dr-devi-prasad-shetty&utm_medium=GMB&utm_campaign=Organic,Karnataka, Cardiology Hospitals,,1860 208 0208,info.sarjapur@narayanahealth.org,info.ahd@narayanahealth.org,info.shimoga@narayanahealth.org,,psrao.cs@gmail.com,8003090309,9070888111,9070888222,9070888333,8334830003,info.nics@narayanahealth.org,info.hsr@narayanahealth.org,nmclangford@narayanahealth.org,,,info.sarjapur@narayanahealth.org
Akkamahadevi Dr A S,"Hig-13, Nava Nagar, Nava Nagar Hubli, Nava Nagar, Hubli, Karnataka 580025",580025,,Karnataka, Cardiology Hospitals,,0836 232 2622,akkamahadevi.naik@cutm.ac.in,contact@jsshospital.in,baburl@gmail.com,,bkmohta@gmail.com,9663743762,8095830799,9731882360,9845389278,9535990125,,,,,,akkamahadevi.naik@cutm.ac.in
Vikram Hospital,"Anne's College, No.71/1, Millers Road, Opp. St, Bengaluru, Karnataka 560052",560052,http://www.vikramhospital.com/,Karnataka, Cardiology Hospitals,,080 6191 4686,vikdigitalhospital@gmail.com,vcare@vikramhospital.com,jdoe@vikramhospital.com,,rumanphukan2010@gmail.com,johndoe@vikramhospital.com,jane_doe@vikramhospital.com,,,,,,,,,vikdigitalhospital@gmail.com
St Martha’s Hospital,"#5, Nrupathunga Rd, RBI Colony, Sampangi Rama Nagara, Bengaluru, Karnataka 560001",560001,http://stmarthas.in/,Karnataka, Cardiology Hospitals,,080 4012 8200,sadie.benoit@smrhfoundation.com,mxxxxxxxs@stmarthas.in,,,catch2020@gmail.com,,,,,,,,,,,sadie.benoit@smrhfoundation.com
Rainbow Children’s Hospital,"Survey No.8/5, Marathahalli-KR Puram, Outer Ring Rd, Ferns City, Doddanekundi, Marathahalli, Bengaluru, Karnataka 560037",560037,https://www.rainbowhospitals.in/,Karnataka, Children Hospitals ,,1800 2122,info@rainbowhospitals.in,vaccination@rainbowhospitals.in,,,mpk927@gmail.com,8448799504,9676838787,8008543030,,,,,,,,info@rainbowhospitals.in
Shishuka Children's Speciality Hospital,"5AC 938, Ring Road, Service Road, Kalyan nagar, HRBR Layout, Banaswadi, Bengaluru, Karnataka 560043",560043,http://www.shishuka.com/,Karnataka, Children Hospitals ,,080 4370 6940,shishukachildrenshospital@gmail.com,management.shishuka@gmail.com,,,pnnmala@gmail.com,8043706940,8660821311,8069909020,9663685437,+918660821311,,,,,,shishukachildrenshospital@gmail.com
Rainbow Children's Hospital,"Janardhan Towers, 178/1 & 178/2 Opposite, Bannerghatta Main Rd, Bilekahalli, Bengaluru, Karnataka 560076",560076,https://www.rainbowhospitals.in/,Karnataka, Children Hospitals ,,1800 2122,info@rainbowhospitals.in,vaccination@rainbowhospitals.in,,,hsa.roc@gmail.com,8448799504,9676838787,8008543030,,,,,,,,info@rainbowhospitals.in
Ustad Children's Hospital,"Indi Rd, near Nalband Chowk, Gacchinakatti Colony, Vijayapura, Karnataka 586101",586101,,Karnataka, Children Hospitals ,,080958 42355,,,,,camukuljain@gmail.com,8095842355,,,,,,,,,,
Sparsham Child Care Hospital,"Vithoba Nagar, Behind Shakuntala Nursing Home Golden Town, Hosur, Hubli, Karnataka 580021",580021,http://www.sparshchildhospital.com/,Karnataka, Children Hospitals ,,076192 39324,sparshcch@gmail.com,,,,caskroc@gmail.com,,,,,,,,,,,sparshcch@gmail.com
"Belagavi Children's Hospital,ಬೆಳಗಾವಿ ಮಕ್ಕಳ ಆಸ್ಪತ್ರೆ","1st, 4th & 5th Floor, Shanbhag Chambers, Kirloskar Rd, Belgaum, Karnataka 590001",590001,http://belgaumchildrenhospital.com/,Karnataka, Children Hospitals ,,0831 242 5556,,,,,kohlimchd@gmail.com,,,,,,,,,,,
Sri Ragava Children's & General Hospital,"#39, Opp.Syndicate Bank, Anekal Taluk, Bangalore-, Sarjapura - Attibele Rd, Karnataka 562107",562107,,Karnataka, Children Hospitals ,,080 2782 1454,,,,,shashigoel.g@gmail.com,09960013003,,,,,,,,,,
Shah Childrens Hospital,"Maharaja Line, Halbarga, Brhampur, Gulbarga, Karnataka 585101",585101,,Karnataka, Children Hospitals ,,084722 77205,,,,,caskj11@gmail.com,9820110717,,,,,,,,,,
SNEH CHILDREN HOSPITAL & RESEARCH CENTER,"Pinto Rd, OPP. CTO, Deshpande Nagar, Hubli, Karnataka 580020",580020,,Karnataka, Children Hospitals ,,0836 222 8382,dr_anurag@snehhospital.in,dr_anuraggarg@rediffmail.com,,,ca9001@gmail.com,8570869826,,,,,,,,,,dr_anurag@snehhospital.in
Saraswati Children Hospital,"Opposite Corporation, Off Wari Complex, Lamington Road, Lamington Road, Hubli, Karnataka 580020",580020,,Karnataka, Children Hospitals ,,0836 226 3128,drrchaubey@gmail.com,,,,arthjayesh@gmail.com,9702078025,9920612181,,,,,,,,,drrchaubey@gmail.com
Chirayush Children's Hospital,"Tilak Nagar Main Road, Shivamogga, Karnataka 577201",577201,,Karnataka, Children Hospitals ,,081822 74044,amrutashinde243@gmail.com,,,,ashishkapoorandassociates@gmail.com,,,,,,,,,,,amrutashinde243@gmail.com
Indira Gandhi Institute Of Child Health,"1st Block, Siddapura, Jayanagar, Bengaluru, Karnataka 560029",560029,http://www.igich.in/,Karnataka, Children Hospitals ,,080 2244 3143,ihealthchild@yahoo.co.in,,,,sonisudesh@gmail.com,8026541799,,,,,,,,,,ihealthchild@yahoo.co.in
Sri Krishna Children Hospital,"Opposite Well behind More retail shop Saptapur, Saptapur, Dharwad, Karnataka 580001",580001,,Karnataka, Children Hospitals ,,0836 277 3646,ospitalsrikrishna5@gmail.com,info@charutarhealth.org,,,sonisudesh@gmail.com,+919817011558,,,,,,,,,,ospitalsrikrishna5@gmail.com
Aayush Children's Hospital,"Syno 413.1st floor Above Hero Motors.near KNT kalayana mantapa.chandapura, Circle, Hosur Main Road, Bengaluru, Karnataka 560099",560099,,Karnataka, Children Hospitals ,,080 2783 6688,info@aayush-hospitals.com,,,,myonlineforms@gmail.com,9607666768,7506363738,9822817026,,,,,,,,info@aayush-hospitals.com
Belgaum Children's Hospital,"1st,4th,&5th, floor Shanbagh chembers, Kirloskar Rd, Belgaum, Karnataka 590001",590001,http://belgaumchildrenhospital.com/get-an-appointment,Karnataka, Children Hospitals ,,0831 244 5556,,,,,ntfs000@gmail.com,,,,,,,,,,,
Ashirwad Maternity and Childrens Hospital,"S.B. Temple Rd, near N.V College, Halbarga, Brhampur, Gulbarga, Karnataka 585103",585103,,Karnataka, Children Hospitals ,,084722 22334,amitvermma@gmail.com,,,,sudhiraryaassociates@gmail.com,,,,,,,,,,,amitvermma@gmail.com
Rainbow Children's Hospitals & BirthRight by Rainbow,"Survey No. 8/5, Marathahalli-KR Puram, Outer Ring Rd, Doddanekundi, Marathahalli, Karnataka 560037",560037,https://www.rainbowhospitals.in/,Karnataka, Children Hospitals ,,1800 2122,info@rainbowhospitals.in,vaccination@rainbowhospitals.in,,,kalgan123@gmail.com,8448799504,9676838787,8008543030,,,,,,,,info@rainbowhospitals.in
Vishal Children's & Maternity Hospital,"West Kodialguthu, Mannagudda Rd, Mangalore, Karnataka 575003",575003,,Karnataka, Children Hospitals ,,0824 249 3935,,,,,camcarecords@gmail.com,,,,,,,,,,,
Masoom Children's Hospital,"Nehru Stadium Rd, Devi Colony, Bank colony, Bidar, Karnataka 585401",585401,,Karnataka, Children Hospitals ,,084822 24455,ketanbharadva@yahoo.com,masoomhospital2021@gmail.com,,,vibha.vaibhav@gmail.com,9374539305,,,,,,,,,,ketanbharadva@yahoo.com
Sri Srinivasa Mother And Child Hospital,"Plot No, 2, KC Rd, Old Katte Gudda, Cowl Bazaar, Ballari, Karnataka 583101",583101,,Karnataka, Children Hospitals ,,083922 71666,,,,,skpat09@gmail.com,,,,,,,,,,,
Kangaroo Care - Women and Children Hospital in West Bangalore,"SHRI BALAGANGADHARANATHA SWAMY METRO STATION, NEAR, NO 89, 17th Cross Rd, Govindaraja Nagar Ward, MC Layout, Vijayanagar, Bengaluru, Karnataka 560040",560040,https://www.kangaroocareindia.com/,Karnataka, Children Hospitals ,,080 2301 5678,info@kangaroocareindia.com,,,,devendraring@gmail.com,,,,,,,,,,,info@kangaroocareindia.com
Leelavathi Childrens Hospital,"Neeli Krishnappa Rd, Doddapet, Kolar, Karnataka 563101",563101,,Karnataka, Children Hospitals ,,081522 22666,,,,,csankitjain16@gmail.com,918152222666,,,,,,,,,,
SHARAN CHILDREN HOSPITAL,"Vasanth Nagar, Nagargum, Gulbarga, Karnataka 585102",585102,,Karnataka, Children Hospitals ,,084722 20996,info@lhmc.in,sharanpaediatrichospital@gmail.com,,,kranjanca@gmail.com,9335982127,9411453326,,,,,,,,,info@lhmc.in
SAMARTH CHILDREN'S HOSPITAL,"Karnataka bank upper flore, Rabkavi Banhatti, Karnataka 587311",587311,https://samarth-childrens-hospital.business.site/,Karnataka, Children Hospitals ,,094486 29593,,,,,capradeepkumarsaini@gmail.com,,,,,,,,,,,
Mouli Children Clinic and Diagnostic center,"69/5, K S Town, Near-K S Tower, Kengeri, Bengaluru, Karnataka 560060",560060,,Karnataka, Children Hospitals ,,098458 66963,drcmouli@yahoo,seniorcitizen@mdindia.com,,,rslegaleagle@gmail.com,8277729324,,,,,,,,,,drcmouli@yahoo
UNITY CHILDREN'S HOSPITAL,"Lakshmi medical Emporium, Kuvempu Rd, near Adichunchanagiri kalyana mantap, Sharavathi Nagar, Shivamogga, Karnataka 577201",577201,,Karnataka, Children Hospitals ,,081822 74044,,,,,yogiasct@gmail.com,,,,,,,,,,,
The Hubli Children Hospital & Research Center Pvt Ltd,"2nd Floor, Tapcms Building, New Cotton Market, opposite Basavana, Karnataka 580029",580029,,Karnataka, Children Hospitals ,,0836 235 6050,add2sing@gmail.com,hublihchre@yahoo.in,,,mailtocanda@gmail.com,,,,,,,,,,,add2sing@gmail.com
Pavithra Kids Care Clinic ಪವಿತ್ರ ಕಿಡ್ಸ್ ಕ್ಯಾರ್ ಕ್ಲಿನಿಕ್,"Near-Sri Vinayaka Temple, Mudalapalya, 28/2, Nagarabhavi Main Rd, 2nd Block, Byraveshwaranagar, Bengaluru, Karnataka 560072",560072,,Karnataka, Children Hospitals ,,080 2321 4196,,,,,amitsehgalcs@gmail.com,,,,,,,,,,,
Madilu Childrens Hospital Tumakuru,"Opp NEPS, near Prithvi Hotel B.H Road, 4th Cross Rd, Shankarapuram, Tumakuru, Karnataka 572102",572102,,Karnataka, Children Hospitals ,,0816 227 7733,,,,,viswafca@gmail.com,08162277733,9327703235,,,,,,,,,
Mahaldar Childrens Hospital,"Jamkahane Street, Godbole Mala, Vijayapura, Karnataka 586101",586101,,Karnataka, Children Hospitals ,,083522 51754,,,,,graplind@gmail.com,,,,,,,,,,,
Cloudnine Hospital - Whitefield,"Nagarjuna Sai Signet , 2nd Floor, Plot no.11 Survey No. 88, Whitefield Main Rd, Bengaluru, Karnataka 560066",560066,https://www.cloudninecare.com/,Karnataka, Children Hospitals ,,099728 99728,info@cloudninecare.com,hr@cloudninecare.com,,,asinghca2002@gmail.com,,,,,,,,,,,info@cloudninecare.com
Sanjivini Children's Clinic,"#30, 4th Cross Rd, 7th Block, Jayanagar, Bengaluru, Karnataka 560070",560070,,Karnataka, Children Hospitals ,,080 2676 6162,care.sanjeevanihospital@gmail.com,,,,arvco.arvco@gmail.com,8026766162,,,,,,,,,,care.sanjeevanihospital@gmail.com
Sri Amrutha Childrens Hospital,"Gandhi Chowk, MG Rd, Raichur, Karnataka 584101",584101,,Karnataka, Children Hospitals ,,085322 27708,amruthachospital@gmail.com,,,,kapoorgarg.cs@gmail.com,9849790363,,,,,,,,,,amruthachospital@gmail.com
Rainbow Children's Hospital,"Unnamed Road, Harihar, Karnataka 577601",577601,,Karnataka, Children Hospitals ,,081922 42023,info@rainbowhospitals.in,nfo@rainbowhospitals.in,jane.doe@rainbowhospitals.in,,batra.pradeep@gmail.com,8448799504,research@ventura1.com,,,,,,,,,info@rainbowhospitals.in
Noble Care Children's Hospital,"#BC No. 178, Near Traffic police station, Havelock Rd, Camp, Belgaum, Karnataka 590001",590001,,Karnataka, Children Hospitals ,,0831 244 5111,www.drimpatil@ncch.co.in,,,,caklal@gmail.com,8105322432,,,,,,,,,,www.drimpatil@ncch.co.in
ಮಹಿಮಾ ಹಾಸ್ಪಿಟಲ್ Mahima Hospital,"2nd floor, Moka Rd, beside Bageecha hotel, Karnataka",,,Karnataka, Children Hospitals ,,083922 55541,,,,,sskeaudit@gmail.com,,,,,,,,,,,
Sanjeevani Children's Hospital Indi,"Lachyan, Vijayapura, Karnataka 586209",586209,https://sanjeevani-childrens-hospital-indi.business.site/,Karnataka, Children Hospitals ,,098455 22964,,,,,mukeshjindalca@gmail.com,,,,,,,,,,,
Bhusanuramath Childrens Hospital,"K C Rani Road, Gadag, Karnataka 582101",582101,,Karnataka, Children Hospitals ,,083722 76745,,,,,jthayalan@gmail.com,08372276745,,,,,,,,,,
I care childrens hospital,"Hosapete, Karnataka 583225",583225,,Karnataka, Children Hospitals ,,097415 57696,ocfeedback@seattlechildrens.org,info@rainbowhospitals.in,,,casudhirgoel@gmail.com,,,,,,,,,,,ocfeedback@seattlechildrens.org
Bijoy Hospital,"Little flower school, Opp, School Road, Hosapete, Karnataka 583201",583201,,Karnataka, Children Hospitals ,,083942 28811,bijoyent@gmail.com,profdrbijoydas@gmail.com,dpcksd.sha@kerala.gov.in,,caamc2009@gmail.com,8801846248,9961210444,,,,,,,,,bijoyent@gmail.com
Children Hospital,"Shindhe Complex, Opp. C.B.T. 580001, Neeligin Rd, Vijay Nagar, Deshpande Nagar, Karnataka 580029",580001,,Karnataka, Children Hospitals ,,0836 244 7290,last@chla.org,,,,madhavan.ramadh@gmail.com,,,,,,,,,,,last@chla.org
Janani Child Care Center,"3rd Main Road, Chigateri General Hospital Rd, behind Spandana Juice Center, Prince Jayachamaraja Wodeyar, Davanagere, Karnataka 577002",577002,,Karnataka, Children Hospitals ,,095350 49577,anuradhadr1@gmail.com,,,,bksoodca@gmail.com,9948199921,7780392868,,,,,,,,,anuradhadr1@gmail.com
ASTRA PAEDIATRIC SPECIALITY CLINIC,"Kanakapura Rd, Mango Garden Layout, Konanakunte, Bengaluru, Karnataka 560062",560062,http://astrahospital.in/,Karnataka, Children Hospitals ,,096069 56521,astrahospital@gmail.com,patientcare.whitefield@asterhospital.com,enquiry.asterrv@asterhospital.com,,camcarecords@gmail.com,9980521271,9972899728,,,,,,,,,astrahospital@gmail.com
Kids Care Clinic,"664/3, Nrupatunga Road, M Block, Nrupatunga Road, Depot Circle, Kuvempu Nagara, Mysuru, Karnataka 570023",570023,,Karnataka, Children Hospitals ,,096118 98080,drdskgastro@gmail.com,,,,csguntur@gmail.com,,,,,,,,,,,drdskgastro@gmail.com
Sai Shrimathi Hospital ಸಾಯಿ ಶ್ರೀಮತಿ ಆಸ್ಪತ್ರೆ,"2681, D Block, 2nd Stage, Rajajinagar, Near-Ganesh Clinical Laboratory, Gayatrinagar, Bengaluru, Karnataka 560010",560010,https://www.manipalhospitals.com/,Karnataka, Children Hospitals ,,080 2332 1690,info@manipalhospitals.com,,,,mspcooffice@gmail.com,,,,,,,,,,,info@manipalhospitals.com
Cure Children's Hospital,"Sunder Nagar, Gulbarga, Karnataka 585101",585101,,Karnataka, Children Hospitals ,,099169 44484,info@cure.org,donor.support@cure.org,rashwinb@gmail.com,,roc.gprs@gmail.com,,,,,,,,,,,info@cure.org
Banashankari Children Hospital,"4, Magod Rd, Sri Ram Nagar, Gouri Shankar Nagar, Ranebennur, Karnataka 581115",581115,,Karnataka, Children Hospitals ,,083732 63638,kalghatgihospital@gmail.com,writetous@motherhoodindia.com,infojnr@sagarhospitals.in,,ca.mahendra@gmail.com,8888888888,,,,,,,,,,kalghatgihospital@gmail.com
Dr Shirur Baby & Childcare Center,"I Floor, Dr Sapare Complex, Gokul Road Cross, Hosur, Opposite Shree Hotel, Hosur, Hubli, Karnataka 580021",580021,,Karnataka, Children Hospitals ,,0836 237 0178,,,,,csdeepak1986@gmail.com,9838585111,,,,,,,,,,
Sarji Hospital,"Plat # 11, Ward # 5,RMR Road,Park Extn, Shivamogga, Karnataka 577201",577201,http://www.sarjihospital.com/,Karnataka, Children Hospitals ,,081824 05505,contact@example.com,info@example.com,,,asa.acs@gmail.com,,,,,,,,,,,contact@example.com
Siri Maternity Clinic & Child Care Centre,"1st Floor, Pai Complex, Vikas Nagar,, Hosur, Kallur Layout, Hubli, Karnataka 580021",580021,,Karnataka, Children Hospitals ,,081529 45414,,,,,parkarstaff@gmail.com,,,,,,,,,,,
Sharan Paedatric Hospital,"Opposite St Mary's Church, Anand Nagar, Brhampur, Gulbarga, Karnataka 585105",585105,,Karnataka, Children Hospitals ,,084722 22292,,,,,rajendrajoshi.cs@gmail.com,,,,,,,,,,,
Prathap Baby Clinic,"M.G. Road,Field Marshal General Cariappa Rd, 2nd Cross, Ward No. 18, Tumkur, Tumakuru, Karnataka 572101",572101,,Karnataka, Children Hospitals ,,099641 49036,support@qikwell.com,,,,royconsultant.roc@gmail.com,,,,,,,,,,,support@qikwell.com
Bagwan Childrens Special,"Unnamed Road, Ward Number 28, Saquaf Roza, Vijayapura, Karnataka 586101",586101,,Karnataka, Children Hospitals ,,083522 51785,,,,,cabansal01@gmail.com,,,,,,,,,,,
Daneshwri Children Hospital,"Kalasapur Rd, Hudco Colony, Gadag, Karnataka 582103",582103,,Karnataka, Children Hospitals ,,098804 37434,info@rainbowhospitals.in,,,,abhijai.aggarwal@gmail.com,,,,,,,,,,,info@rainbowhospitals.in
Chaitanya Children's Hospital,"Solapur Road, Banjara Nagar, Vijayapura, Karnataka 586103",586103,,Karnataka, Children Hospitals ,,070908 55570,,,,,nkdandco@gmail.com,,,,,,,,,,,
Shri Sidrameshwar children hospital,"SH31, Harugeri, Karnataka 591220",591220,,Karnataka, Children Hospitals ,,078292 35135,,,,,uccdelhi@gmail.com,8333814075,,,,,,,,,,
Vamshavruksha Child Care Hospital,"Balaji Nagara, Sira, Karnataka 572137",572137,,Karnataka, Children Hospitals ,,081352 77307,jaikrishnanar@lifecarehll.com,,,,info.roc7412@gmail.com,,,,,,,,,,,jaikrishnanar@lifecarehll.com
Shri Sai children hospital,"SH36, B.T.Patil Nagar, Koppal, Karnataka 583231",583231,,Karnataka, Children Hospitals ,,098802 26242,info.raipur@srisathyasaisanjeevani.com,,,,sumeshconsultants@gmail.com,9441432370,+919880226242,,,,,,,,,info.raipur@srisathyasaisanjeevani.com
Ramakant Kulkarni Children's Hospital,"Government Hospital, Opposite, Gokak Falls Rd, Gokak, Karnataka 591307",591307,http://rdkulkarnichildrenhospital.com/,Karnataka, Children Hospitals ,,083322 26010,,,,,rocfiling2012@gmail.com,,,,,,,,,,,
R S Childrens Hospital,"Basaveshwara Extension, Hosapete, Karnataka 583201",583201,,Karnataka, Children Hospitals ,,083942 20983,klinika@udk.bg.ac.rs,,,,cakushmukeshmishra91@gmail.com,,,,,,,,,,,klinika@udk.bg.ac.rs
Shekar Hospital,"Sardar Patel Rd, Hosapete, Karnataka 583201",583201,,Karnataka, Children Hospitals ,,083531 32654,info@shekareyehospital.com,shekharhospitalbtr@gmail.com,cfc.lucknow@gmail.com,,mcabapnasc@gmail.com,+91-8035710216,,,,,,,,,,info@shekareyehospital.com
